,meeting_key,session_key,driver_number,lap_number,race_date,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,position,final_position,total_laps,lap_remaining,positions_to_gain,gain_per_lap
591,1141,7953,18,31,2023-03-05 00:00:00+00:00,51.935,41.573,23.555,229.0,256.0,True,117.063,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2049, 2051, 2049, 2049, 2048, 2051, 2048, 2048, 2049, 2051, 2051]","[2051, 2049, 2049, 2048, 2049, 2051, 2048]",218.0,8,6,57,27,7,0.25925925925925924
592,1141,7953,2,31,2023-03-05 00:00:00+00:00,53.34,42.124,23.839,234.0,253.0,True,119.303,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2048, 2049, 2048, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2049, 2048]",221.0,9,12,57,27,8,0.2962962962962963
593,1141,7953,24,31,2023-03-05 00:00:00+00:00,31.824,43.5,24.346,231.0,247.0,False,99.67,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",295.0,10,16,57,27,9,0.3333333333333333
594,1141,7953,77,31,2023-03-05 00:00:00+00:00,31.079,42.337,23.963,232.0,250.0,False,97.379,"[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048]",294.0,11,8,57,27,10,0.37037037037037035
595,1141,7953,23,31,2023-03-05 00:00:00+00:00,31.211,42.963,23.93,233.0,250.0,False,98.104,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2051, 2048, 2048, 2048]",314.0,12,10,57,27,11,0.4074074074074074
596,1141,7953,10,31,2023-03-05 00:00:00+00:00,30.971,42.877,24.12,229.0,253.0,False,97.968,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048]",320.0,13,9,57,27,12,0.4444444444444444
597,1141,7953,22,31,2023-03-05 00:00:00+00:00,30.795,42.857,24.161,230.0,244.0,False,97.813,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",315.0,14,11,57,27,13,0.48148148148148145
598,1141,7953,21,31,2023-03-05 00:00:00+00:00,31.126,42.804,23.979,233.0,248.0,False,97.909,"[None, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",299.0,15,14,57,27,14,0.5185185185185185
599,1141,7953,1,32,2023-03-05 00:00:00+00:00,31.139,42.523,24.029,,249.0,False,97.691,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",300.0,1,1,57,26,0,0.0
600,1141,7953,31,31,2023-03-05 00:00:00+00:00,31.748,43.573,24.427,,247.0,False,99.748,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",,16,17,57,27,15,0.5555555555555556
